"Code
AGB","Code
CIQUAL",Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,LCI Name,code saison (0 : hors saison ; 1 : de saison ; 2 : mix de consommation FR),code avion (1 : par avion),Livraison,Matériau d'emballage,Préparation,DQR - Note de qualité de la donnée (1 excellente ; 5 très faible),mPt/kg de produit,kg CO2 eq/kg de produit
11048,11048,aides culinaires et ingrédients divers,épices,Noix de muscade,Nutmeg,2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.14440871000000002,1.1951192
20987,20987,aides culinaires et ingrédients divers,algues,"Nori (Porphyra sp.), séchée ou déshydratée","Laver (Porphyra sp.), dried or dehydrated",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,1.2318794000000002,6.7664073
13147,13147,aides culinaires et ingrédients divers,condiments,"Olives vertes, fourrées ou farcies (anchois, poivrons, etc.)","Olive, green, stuffed (anchovy, sweet peppers, etc…)",2,0,Glacé,Verre,Pas de préparation,2.46,0.13135854,0.89387256
11035,11035,aides culinaires et ingrédients divers,herbes,"Origan, séché","Oregano, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.39831561,1.5527851
11049,11049,aides culinaires et ingrédients divers,épices,Paprika,Paprika,2,0,Ambiant (long),Verre,Pas de préparation,4.31,1.4235719999999998,9.1927855
11061,11061,aides culinaires et ingrédients divers,épices,"Pavot, graine","Poppy, seed",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.45684608000000004,1.8355536
11014,11014,aides culinaires et ingrédients divers,herbes,"Persil, frais","Parsley, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,2.99,0.18598283999999998,1.0872503
11024,11024,aides culinaires et ingrédients divers,herbes,"Persil, séché","Parsley, dried",2,0,Ambiant (long),Verre,Pas de préparation,2.99,0.71868078,3.3523443
25525,25525,aides culinaires et ingrédients divers,aides culinaires,"Pizza, sauce garniture pour",Topping sauce for pizza,2,0,Ambiant (long),Carton,Pas de préparation,3.19,0.14662923,0.72128054
11019,11019,aides culinaires et ingrédients divers,épices,"Poivre blanc, poudre","White pepper, powder",2,0,Ambiant (long),Verre,Pas de préparation,4.31,1.4235719999999998,9.1927855
11088,11088,aides culinaires et ingrédients divers,épices,Poivre de Cayenne ou piment de Cayenne,Cayenne pepper,2,0,Ambiant (long),Verre,Pas de préparation,4.31,1.4235719999999998,9.1927855
11015,11015,aides culinaires et ingrédients divers,épices,"Poivre noir, poudre","Black pepper, powder",2,0,Ambiant (long),Verre,Pas de préparation,2.34,1.4239766,9.1939845
11214,11214,aides culinaires et ingrédients divers,aides culinaires,"Préparation culinaire à base de soja, type ""crème de soja""","Soy ""cream"" preparation",2,0,Ambiant (long),Carton,Pas de préparation,2.09,0.14554177,1.0443754
11056,11056,aides culinaires et ingrédients divers,épices,Quatre épices,Mix of 4 spices,2,0,Ambiant (long),Verre,Pas de préparation,2.79,0.8950024999999999,5.8546142
11016,11016,aides culinaires et ingrédients divers,herbes,"Raifort, cru","Horseradish, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.08379751,0.67593611
11068,11068,aides culinaires et ingrédients divers,herbes,"Romarin, frais","Rosemary, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.13208130999999998,0.81494394
11036,11036,aides culinaires et ingrédients divers,herbes,"Romarin, séché","Rosemary, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.39831561,1.5527851
11039,11039,aides culinaires et ingrédients divers,épices,Safran,Saffron,2,0,Ambiant (long),Verre,Pas de préparation,3.75,1.4235719999999998,9.1927855
11062,11062,aides culinaires et ingrédients divers,herbes,"Sarriette, séchée","Savory, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.39831561,1.5527851
11159,11159,aides culinaires et ingrédients divers,sauces,Sauce à la crème,Cream sauce,2,0,Glacé,PVC,Micro-onde ,2.9,0.24835026999999998,2.1680434
11161,11161,aides culinaires et ingrédients divers,sauces,Sauce à la crème aux épices,Cream sauce with spices,2,0,Glacé,PVC,Micro-onde ,2.82,0.24979178,1.9756168
11162,11162,aides culinaires et ingrédients divers,sauces,Sauce à la crème aux herbes,Cream sauce with herbs,2,0,Glacé,PVC,Micro-onde ,3.22,0.24979178,1.9756168
11122,11122,aides culinaires et ingrédients divers,sauces,"Sauce à l'échalote à la crème, préemballée","Cream sauce with shallots, prepacked",2,0,Glacé,PVC,Micro-onde ,2.82,0.23107859,1.9543902
11163,11163,aides culinaires et ingrédients divers,sauces,"Sauce aigre douce, préemballée","Sweet and sour sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.78,0.16784965999999998,1.0623212
11168,11168,aides culinaires et ingrédients divers,sauces,"Sauce aïoli, préemballée","Aioli sauce (garlic and olive oil mayonnaise), prepacked",2,0,Glacé,PVC,Pas de préparation,2.49,0.5697431700000001,1.4295747
11167,11167,aides culinaires et ingrédients divers,sauces,"Sauce américaine, préemballée","American-style sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2.11,0.38959193999999997,3.5683811
11111,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.18,0.39364652,3.5794266
11140,11140,aides culinaires et ingrédients divers,sauces,"Sauce au beurre blanc, préemballée","White butter sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.18,0.4720719,4.375069
11158,11158,aides culinaires et ingrédients divers,sauces,"Sauce au beurre, préemballée","Sauce, butter, prepacked",2,0,Glacé,PVC,Micro-onde ,2.18,0.4720719,4.375069
11300,11300,aides culinaires et ingrédients divers,sauces,Sauce au chocolat,Chocolate sauce,2,0,Ambiant (long),PVC,Pas de préparation,2.16,0.38488445,6.2718291
11132,11132,aides culinaires et ingrédients divers,sauces,"Sauce au curry, préemballée","Curry sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.84,0.11533079,0.79871814
11189,11189,aides culinaires et ingrédients divers,sauces,"Sauce au fromage pour risotto ou pâtes, préemballée","Cheese sauce for risotto or pasta, prepacked",2,0,Glacé,PVC,Micro-onde ,1.76,0.39888666,3.9145719
11115,11115,aides culinaires et ingrédients divers,sauces,"Sauce au poivre vert, préemballée","Green pepper sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.21,0.13993351,1.1321608
11182,11182,aides culinaires et ingrédients divers,sauces,"Sauce au poivre, chaude, préemballée","Sauce, pepper, prepacked",2,0,Glacé,PVC,Micro-onde ,2.21,0.19747442,1.6773533
11212,11212,aides culinaires et ingrédients divers,sauces,"Sauce au poivre, condimentaire, froide, préemballée","Sauce, pepper, prepacked",2,0,Glacé,PVC,Pas de préparation,2.14,0.19747442,1.6663078
11191,11191,aides culinaires et ingrédients divers,sauces,"Sauce au roquefort, préemballée","Roquefort (blue cheese) sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.98,0.4720719,4.375069
11164,11164,aides culinaires et ingrédients divers,sauces,Sauce au vin rouge,Red wine sauce,2,0,Glacé,PVC,Micro-onde ,2.35,0.27580656000000003,1.7640323
11166,11166,aides culinaires et ingrédients divers,sauces,Sauce au yaourt,Yogurt sauce,2,0,Glacé,PVC,Pas de préparation,1.8,0.19784879,1.4654922
11192,11192,aides culinaires et ingrédients divers,sauces,"Sauce aux champignons et à la crème, préemballée","Cream sauce with mushrooms, prepacked",2,0,Glacé,PVC,Micro-onde ,2.68,0.54031091,4.1164892
11160,11160,aides culinaires et ingrédients divers,sauces,"Sauce aux champignons, préemballée","Mushroom sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.21,0.54123167,3.8321545
11100,11100,aides culinaires et ingrédients divers,sauces,"Sauce barbecue, préemballée","Barbecue sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2.25,0.22386530999999998,1.2690648
11170,11170,aides culinaires et ingrédients divers,sauces,"Sauce basquaise ou Sauce aux poivrons, préemballée","Basque-style sauce or tomato sauce with sweet peppers, prepacked",2,0,Glacé,PVC,Micro-onde ,2.78,0.21390227,1.0878717
11102,11102,aides culinaires et ingrédients divers,sauces,"Sauce béarnaise, préemballée","Bearnaise sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.18,0.56389366,5.0681361
11143,11143,aides culinaires et ingrédients divers,sauces,"Sauce béchamel, maison","Bechamel sauce, home-made",2,0,Glacé,PVC,Micro-onde ,1.87,0.22354950999999998,2.0603144
11101,11101,aides culinaires et ingrédients divers,sauces,"Sauce béchamel, préemballée","Bechamel sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,1.87,0.22354950999999998,2.0603144
11120,11120,aides culinaires et ingrédients divers,sauces,"Sauce bourguignonne, préemballée","Burgundy-style sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2.11,0.37342613999999996,2.7975168
11196,11196,aides culinaires et ingrédients divers,sauces,"Sauce burger, préemballée","Burger sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,3.35,0.49537835,3.0108747
11128,11128,aides culinaires et ingrédients divers,sauces,"Sauce carbonara, préemballée","Carbonara sauce (cream sauce with lardoons), prepacked",2,0,Glacé,PVC,Micro-onde ,1.92,0.62442019,4.9309048
11129,11129,aides culinaires et ingrédients divers,sauces,"Sauce chasseur, préemballée","Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked",2,0,Glacé,PVC,Micro-onde ,2.21,0.29708975,2.2251479
11198,11198,aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée","Salad dressing, reduced fat, prepacked",2,0,Glacé,PVC,Pas de préparation,3.35,0.49537835,3.0108747
11187,11187,aides culinaires et ingrédients divers,sauces,"Sauce crudités ou Sauce salade, préemballée","Salad dressing, prepacked",2,0,Glacé,PVC,Pas de préparation,3.35,0.49537835,3.0108747
11199,11199,aides culinaires et ingrédients divers,sauces,"Sauce grand veneur, préemballée","Grand veneur sauce (a reduction of red wine with garlic, shallots and red currant jelly), prepacked",2,0,Glacé,PVC,Micro-onde ,2.58,0.37748072000000005,2.8085623
11105,11105,aides culinaires et ingrédients divers,sauces,"Sauce hollandaise, préemballée","Hollandaise sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,2.26,0.66787312,6.1517219
11202,11202,aides culinaires et ingrédients divers,sauces,"Sauce indienne type tandoori ou tikka masala, préemballée","Indian-style sauce, tandoori or garam masala type, prepacked",2,0,Glacé,PVC,Micro-onde ,2.75,0.19310342,1.2984228
11203,11203,aides culinaires et ingrédients divers,sauces,"Sauce kebab, préemballée","Kebab sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2.72,0.25059001,1.8986369
11121,11121,aides culinaires et ingrédients divers,sauces,"Sauce madère, préemballée","Madeira wine sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,1.96,0.5308505899999999,5.0360748
11157,11157,aides culinaires et ingrédients divers,sauces,"Sauce moutarde, préemballée",Mustard sauce prepacked,2,0,Glacé,PVC,Pas de préparation,2.64,0.23976775,1.954953
11194,11194,aides culinaires et ingrédients divers,sauces,"Sauce Nuoc Mâm ou Sauce au poisson, préemballée","Nuoc mam sauce or fish sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2,0.14484144,0.93884762
11210,11210,aides culinaires et ingrédients divers,sauces,"Sauce pesto rosso, préemballée","Sauce, pesto rosso, prepacked",2,0,Glacé,PVC,Micro-onde ,3.09,0.45193599,2.5824794
11179,11179,aides culinaires et ingrédients divers,sauces,"Sauce pesto, préemballée","Sauce, pesto, prepacked",2,0,Glacé,PVC,Micro-onde ,3.09,0.45193599,2.5824794
11205,11205,aides culinaires et ingrédients divers,sauces,"Sauce rouille, préemballée","Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked",2,0,Ambiant (long),PVC,Pas de préparation,2.92,0.43858599000000004,2.6380637
11104,11104,aides culinaires et ingrédients divers,sauces,"Sauce soja, préemballée","Soy sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2.49,0.099202987,0.74311747
11051,11051,aides culinaires et ingrédients divers,sauces,"Sauce tartare, préemballée","Tartare sauce, prepacked",2,0,Glacé,PVC,Pas de préparation,2.58,0.19341983000000001,1.6663078
11114,11114,aides culinaires et ingrédients divers,sauces,"Sauce tomate à la viande ou Sauce bolognaise, préemballée","Tomato sauce, with meat or Bolognese sauce, prepacked",2,0,Glacé,PVC,Micro-onde ,1.98,1.2443336,12.184231
11208,11208,aides culinaires et ingrédients divers,sauces,"Sauce tomate au fromage, préemballée","Tomato sauce, w cheese, prepacked",2,0,Glacé,PVC,Micro-onde ,2.93,0.20206354999999998,1.2391016
11177,11177,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux champignons, préemballée","Tomato sauce, w mushrooms, prepacked",2,0,Glacé,PVC,Micro-onde ,2.93,0.21495988000000002,1.2186259
11107,11107,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux oignons, préemballée","Tomato sauce, with onions, prepacked",2,0,Glacé,PVC,Micro-onde ,2.78,0.17241549,0.90914149
11178,11178,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux olives, préemballée","Tomato sauce, w olives, prepacked",2,0,Glacé,PVC,Micro-onde ,2.93,0.17476397000000002,0.90187494
11207,11207,aides culinaires et ingrédients divers,sauces,"Sauce tomate aux petits légumes, préemballée","Tomato sauce, w vegetables, prepacked",2,0,Glacé,PVC,Micro-onde ,2.78,0.20220724999999998,0.93844713
11219,11219,aides culinaires et ingrédients divers,sauces,"Sauce végétale type bolognaise, préemballée",Vegetable Bolognese sauce,2,0,Ambiant (long),Verre,Pas de préparation,2.2489188065437618,0.21810894,1.3479877
11110,11110,aides culinaires et ingrédients divers,sauces,"Sauce vinaigrette (50 à 75% d'huile), préemballée","Salad dressing, (50-75% of oil), prepacked",2,0,Glacé,PVC,Pas de préparation,2.49,0.43709237,2.6806068
11069,11069,aides culinaires et ingrédients divers,herbes,"Sauge, fraîche","Sage, fresh",2,0,Ambiant (long),LDPE,Pas de préparation,3.75,0.13208130999999998,0.81494394
11037,11037,aides culinaires et ingrédients divers,herbes,"Sauge, séchée","Sage, dried",2,0,Ambiant (long),Verre,Pas de préparation,3.75,0.39831561,1.5527851
11044,11044,aides culinaires et ingrédients divers,sels,Sel au céleri,Celery salt,2,0,Ambiant (long),PVC,Pas de préparation,2.44,0.079425471,0.60557289
11058,11058,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",2,0,Ambiant (long),PVC,Pas de préparation,2.87,0.079425471,0.60557289
11017,11017,aides culinaires et ingrédients divers,sels,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), no enrichment",2,0,Ambiant (long),PVC,Pas de préparation,2.44,0.079425471,0.60557289
11083,11083,aides culinaires et ingrédients divers,sels,"Sel marin gris, non iodé, non fluoré","Sea salt, grey, no enrichment",2,0,Ambiant (long),PVC,Pas de préparation,2.44,0.079425471,0.60557289
31089,31089,aides culinaires et ingrédients divers,ingrédients divers,Sirop d'agave,"Syrup, agave",2,0,Ambiant (long),PET,Pas de préparation,2.199288465614882,0.66508301,4.7169008
31034,31034,aides culinaires et ingrédients divers,ingrédients divers,Sirop d'érable,"Syrup, maple",2,0,Ambiant (long),Verre,Pas de préparation,1.340153996158337,0.24781084,2.0181339
20919,20919,aides culinaires et ingrédients divers,ingrédients divers,Sirop léger pour fruits appertisés au sirop,Light syrup for canned fruits in syrup,2,0,Ambiant (long),Verre,Pas de préparation,3.38,0.083512492,0.73013736
20918,20918,aides culinaires et ingrédients divers,ingrédients divers,Sirop pour fruits appertisés au sirop,Syrup for canned fruits in syrup,2,0,Ambiant (long),Verre,Pas de préparation,2.99,0.083512492,0.73013736
9640,9640,aides culinaires et ingrédients divers,ingrédients divers,Son d'avoine,Oat bran,2,0,Ambiant (long),Carton,Pas de préparation,3.97,0.12641763,0.6523308
9621,9621,aides culinaires et ingrédients divers,ingrédients divers,Son de blé,Wheat bran,2,0,Ambiant (long),Papier,Pas de préparation,2.68,0.043764973,0.32924776
